t_index term df
1000 bershard 1
1001 bershevski 1
1002 berth 2
1003 beschloss 1
1004 beset 2
1005 besid 27
1006 besieg 4
1007 bespectacl 2
1008 bet 5
1009 beta 8
1010 beth 1
1011 betray 4
1012 betrisia 1
1013 bevan 1
1014 beveneari 1
1015 bewild 1
1016 bhaba 2
1017 bhachau 4
1018 bhagat 1
1019 bhakta 1
1020 bharatiya 3
1021 bharpi 3
1022 bhaskar 5
1023 bhat 1
1024 bhatt 1
1025 bhavesh 1
1026 bhowmik 1
1027 bhug 1
1028 bhuj 33
1029 bia 1
1030 biafran 2
1031 biarritz 3
1032 bias 8
1033 bibl 4
1034 biblic 1
1035 bicker 3
1036 bicycl 5
1037 bid 50
1038 bidanora 1
1039 big 76
1040 bigger 8
1041 biggest 39
1042 bigot 1
1043 bihari 10
1044 bilater 8
1045 bilingu 1
1046 bill 68
1047 billboard 2
1048 billet 1
1049 billi 4
1050 billion 59
1051 billionair 9
1052 billow 13
1053 biltera 1
1054 bimal 2
1055 bin 87
1056 bind 5
1057 bindra 3
1058 bingaman 2
1059 bingo 1
1060 binocular 5
1061 bio 1
1062 biogeneticist 1
1063 biograph 3
1064 biographi 4
1065 biolog 4
1066 bion 1
1067 bipartisan 2
1068 bipartisanship 1
1069 bird 3
1070 birger 1
1071 birth 9
1072 birthday 6
1073 birthmark 1
1074 birthplac 1
1075 biscuit 3
1076 bishop 2
1077 bit 46
1078 bite 2
1079 biter 1
1080 bitka 1
1081 bitten 1
1082 bitter 20
1083 bitterli 10
1084 bittersweet 2
1085 biw 1
1086 bizarr 10
1087 bjorn 1
1088 black 58
1089 blacken 4
1090 blackmail 5
1091 blackout 4
1092 blade 1
1093 blair 15
1094 blakemor 1
1095 blame 56
1096 blanchard 1
1097 blanco 7
1098 bland 1
1099 blanda 1
1100 blank 3
1101 blanket 35
1102 blankli 2
1103 blare 1
1104 blast 109
1105 blatant 2
1106 blaze 6
1107 bleach 1
1108 bleacher 1
1109 bleak 1
1110 bled 1
1111 bleed 2
1112 blemish 1
1113 blend 4
1114 bless 9
1115 blew 42
1116 blind 8
1117 blindli 5
1118 blink 3
1119 blister 2
1120 blitz 1
1121 blitzer 1
1122 blizzard 5
1123 bloat 4
1124 bloc 7
1125 block 83
1126 blockad 15
1127 blocker 1
1128 blocki 1
1129 blokosso 1
1130 blond 6
1131 blood 34
1132 bloodbath 2
1133 bloodi 8
1134 bloodiest 1
1135 bloodless 2
1136 bloodsh 9
1137 bloodstain 1
1138 bloomberg 1
1139 bloomer 1
1140 blous 1
1141 blow 25
1142 blown 11
1143 blowtorch 1
1144 blue 46
1145 blueprint 11
1146 bluf 5
1147 blunk 1
1148 blunt 2
1149 bluntli 2
1150 blur 2
1151 blurb 1
1152 blusteri 1
1153 blvd 1
1154 bnaibrith 1
1155 bo 5
1156 board 63
1157 boarder 5
1158 boardwalk 1
1159 boast 3
1160 boat 117
1161 boater 1
1162 boatmen 1
1163 bob 24
1164 bobbi 6
1165 bobic 1
1166 bodi 188
1167 bodien 1
1168 bodin 9
1169 bodon 1
1170 bodyguard 10
1171 boe 2
1172 bog 2
1173 boga 1
1174 bogg 1
1175 bogu 4
1176 bohdan 2
1177 boigni 6
1178 boil 1
1179 boister 1
1180 bojic 1
1181 bold 3
1182 boldli 1
1183 bolivia 1
1184 bolona 2
1185 bolster 12
1186 bolt 1
1187 bomb 259
1188 bombard 2
1189 bombay 5
1190 bomber 57
1191 bombet 2
1192 bombey 1
1193 bombmak 4
1194 bombshel 1
1195 bond 17
1196 bondjump 1
1197 bone 53
1198 bonecardi 1
1199 bonfir 3
1200 bonilla 1
1201 bonni 1
1202 bono 1
1203 bonu 1
1204 boo 3
1205 boobi 3
1206 book 26
1207 bookend 1
1208 boom 7
1209 boost 14
1210 booster 1
1211 boot 5
1212 booth 8
1213 bor 1
1214 border 53
1215 bore 3
1216 borg 1
1217 bori 7
1218 borisav 1
1219 borislav 3
1220 borisov 1
1221 borivoj 1
1222 bork 1
1223 borka 1
1224 born 47
1225 borneo 4
1226 borotra 1
1227 borrow 2
1228 borzon 1
1229 bosnia 16
1230 bosnian 5
1231 boss 10
1232 boston 18
1233 botch 5
1234 bother 9
1235 bottl 5
1236 bottom 28
1237 bouak 1
1238 boucher 8
1239 bouffard 1
1240 bought 10
1241 boulevard 1
1242 bounc 7
1243 bound 15
1244 boundari 2
1245 bounti 1
1246 bout 5
1247 bow 11
1248 bowel 2
1249 bowen 2
1250 bowl 1
1251 bowman 1
1252 bowmen 1
1253 bowrey 1
1254 box 17
1255 boxer 1
1256 boy 35
1257 boycot 26
1258 boycott 18
1259 boyd 1
1260 boyfriend 4
1261 bozov 3
1262 braca 2
1263 brace 4
1264 braci 1
1265 bracket 1
1266 brad 6
1267 bradi 1
1268 bradman 1
1269 bradshaw 1
1270 brag 4
1271 brain 2
1272 brainwash 3
1273 brake 1
1274 branch 9
1275 brand 6
1276 brandish 6
1277 brandon 1
1278 brash 2
1279 brass 4
1280 brave 6
1281 bravent 1
1282 braveri 2
1283 bravo 4
1284 brazen 1
1285 brazil 2
1286 brazilian 1
1287 breach 3
1288 bread 1
1289 breadbasket 2
1290 break 111
1291 breakaway 2
1292 breakdown 3
1293 breaker 1
1294 breakfast 6
1295 breakout 9
1296 breakthrough 12
1297 breakup 3
1298 breast 4
1299 breath 6
1300 breaux 1
1301 breed 5
1302 breez 6
1303 breme 1
1304 bremer 1
1305 brenton 2
1306 brevant 1
1307 brew 3
1308 brewer 1
1309 brian 15
1310 bribe 40
1311 briberi 10
1312 brick 12
1313 bride 1
1314 bridg 19
1315 bridgett 1
1316 brie 6
1317 briefli 24
1318 brien 1
1319 brig 1
1320 brigad 3
1321 bright 11
1322 brighten 2
1323 brighter 1
1324 brightest 2
1325 brightli 1
1326 brilliant 3
1327 brim 1
1328 bring 126
1329 brink 6
1330 brisk 1
1331 briskli 3
1332 bristl 3
1333 britain 37
1334 british 56
1335 briton 3
1336 broad 14
1337 broadcast 59
1338 broaden 2
1339 broader 9
1340 broadli 3
1341 broder 1
1342 brokaw 1
1343 broke 91
1344 broken 49
1345 broker 7
1346 brokerag 1
1347 bronco 1
1348 bronxvil 1
1349 bronz 2
1350 brood 1
1351 brook 3
1352 brooklyn 1
1353 broom 1
1354 brother 73
1355 brought 116
1356 brow 2
1357 brown 18
1358 broz 1
1359 bruce 1
1360 bruis 7
1361 brunei 22
1362 brunswick 1
1363 brunt 4
1364 brush 7
1365 brussel 6
1366 brutal 16
1367 bryan 4
1368 bryann 1
1369 bryant 1
1370 bt 1
1371 bu 18
1372 bubbl 2
1373 buccan 1
1374 buchanan 7
1375 buck 9
1376 bucket 4
1377 buckl 13
1378 bud 3
1379 budapest 1
1380 buddhist 1
1381 buddi 1
1382 budget 9
1383 budnev 1
1384 budor 1
1385 budsmen 1
1386 budva 1
1387 bueni 1
1388 buf 4
1389 buff 4
1390 buffalo 3
1391 buffer 1
1392 bug 5
1393 bugss 1
1394 build 170
1395 builder 6
1396 buildup 2
1397 built 29
1398 bulatov 7
1399 bulg 1
1400 bulgaria 3
1401 bulk 4
1402 bulkhead 4
1403 bulki 1
1404 bulldoz 25
1405 bullet 10
1406 bulletin 3
1407 bulletproof 3
1408 bulli 3
1409 bullzdoz 1
1410 bum 1
1411 bump 2
1412 bumper 4
1413 bumpi 1
1414 bunch 5
1415 bundl 1
1416 bungl 6
1417 bunk 5
1418 bunker 7
1419 bunkroom 1
1420 bunt 1
1421 buoy 7
1422 buraika 1
1423 burch 1
1424 burden 7
1425 bureau 33
1426 bureaucraci 4
1427 bureaucrat 7
1428 burglar 7
1429 burglari 8
1430 burgsmul 2
1431 buri 85
1432 burial 13
1433 burk 6
1434 burkhard 1
1435 burkina 8
1436 burkinab 1
1437 burkl 5
1438 burli 4
1439 burn 47
1440 burner 2
1441 burnt 3
1442 burri 1
1443 burst 10
1444 burton 5
1445 buse 19
1446 bush 99
1447 bushi 1
1448 bushnel 1
1449 busi 90
